Target,Accuracy,ROC_Mean,PR_Mean,Precision_Mean,Recall_Mean,F1_Mean,VME,ME,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_S,Train_Count_I,Train_Count_R
Ceftriaxone_AB,0.9763313609467456,1.0,1.0,0.95,0.9849624060150376,0.9660506227400563,2.366863905325444,0.0,36.0,0.0,133.0,36.0,0.0,133.0
Meropenem_AB,0.8356435643564356,0.9020322225070715,0.6465463198438396,0.5295444456442189,0.5645626847504782,0.5449078495878877,4.9504950495049505,10.297029702970297,355.0,15.0,135.0,355.0,15.0,135.0
Cefepime_AB,0.8504672897196262,0.8817786851936485,0.7704079723160845,0.8941826567462906,0.652813671835411,0.6752818866337957,1.8691588785046727,11.214953271028037,48.0,23.0,143.0,48.0,23.0,143.0
Trimethoprim_AB,0.8478260869565217,0.8883116883116884,0.8788598303824079,0.7958333333333334,0.8688311688311688,0.8165242165242166,13.043478260869565,2.1739130434782608,11.0,0.0,35.0,11.0,0.0,35.0
Ciprofloxacin_AB,0.8910891089108911,0.9426689138414958,0.7383733180148276,0.6124124124124124,0.5985107514626549,0.6011161178845065,0.594059405940594,10.297029702970297,164.0,20.0,321.0,164.0,20.0,321.0
Amikacin_AB,0.8427947598253275,0.9239709268854347,0.8066061988475624,0.42139737991266374,0.5,0.45734597156398105,15.72052401746725,0.0,386.0,0.0,72.0,386.0,0.0,72.0
Tobramycin_AB,0.9274809160305344,0.948522066169125,0.9410357137782606,0.9262505843852267,0.9286301933360757,0.9270975206127441,2.6717557251908395,4.580152671755725,143.0,0.0,119.0,143.0,0.0,119.0
Gentamicin_AB,0.9080234833659491,0.9704142011834319,0.9596077817726552,0.8913774872632895,0.917775421554879,0.9010118495620814,1.761252446183953,7.436399217221135,338.0,0.0,173.0,338.0,0.0,173.0
Ceftazidime_AB,0.8687350835322196,0.9522734014623273,0.8362255326739497,0.9094295143800094,0.6956832241018119,0.7146095179394919,0.7159904534606205,12.410501193317423,235.0,31.0,153.0,235.0,31.0,153.0
Ampicillin_AB,0.9347826086956522,0.9615503875968993,0.8879790296488985,0.4673913043478261,0.5,0.48314606741573035,0.0,6.521739130434782,15.0,0.0,215.0,15.0,0.0,215.0
Norfloxacin_AB,0.972972972972973,0.9698275862068966,0.9135869937055281,0.9444444444444444,0.9827586206896552,0.9618163054695562,0.0,2.7027027027027026,29.0,0.0,8.0,29.0,0.0,8.0
Aztreonam_AB,0.9044585987261147,0.9228241091494948,0.8399406398012074,0.8944818622237977,0.789284145805885,0.8335992719192493,1.910828025477707,7.643312101910828,33.0,9.0,115.0,33.0,9.0,115.0
Cefotaxime_AB,0.5989010989010989,0.9886204645089077,0.9839174142571537,0.7966573816155988,0.5165562913907285,0.40442890442890445,0.0,40.10989010989011,151.0,0.0,213.0,151.0,0.0,213.0
Cefuroxime_AB,0.8082191780821918,0.9073849878934624,0.8514839613109608,0.4041095890410959,0.5,0.44696969696969696,0.0,19.17808219178082,0.0,28.0,118.0,0.0,28.0,118.0
Imipenem_AB,0.7921348314606742,0.7547521159825382,0.5415362287337183,0.5932539682539683,0.4108527131782946,0.41787089038934816,0.0,20.786516853932586,43.0,4.0,131.0,43.0,4.0,131.0
Cefazolin_AB,0.7538461538461538,0.8973214285714286,0.8742898219232933,0.3769230769230769,0.5,0.4298245614035088,0.0,24.615384615384617,0.0,32.0,98.0,0.0,32.0,98.0
Ertapenem_AB,0.697560975609756,0.7140117100747022,0.724669054611799,0.6918407679277244,0.6371895820714718,0.6382627504553734,6.829268292682928,23.414634146341466,78.0,0.0,127.0,78.0,0.0,127.0
Levofloxacin_AB,0.8486486486486486,0.909720062595819,0.8490472213341244,0.8908730158730159,0.6087636932707355,0.6782258064516129,0.5405405405405406,14.594594594594595,10.0,33.0,142.0,10.0,33.0,142.0
Median,0.8495579691841374,0.9233975180174647,0.8502655913225425,0.7962453574744661,0.6229766376711037,0.6567723185445846,1.2386214498222867,10.297029702970297,,,,,,
