,Organism_Code,Antibiotic,Test_Count_NA,Test_Count_S,Test_Count_I,Test_Count_R,Train_Count_NA,Train_Count_S,Train_Count_I,Train_Count_R
0,ECO,Amikacin_AB,1.0,259.0,0.0,6.0,1.0,259.0,0.0,6.0
1,ECO,Ampicillin_AB,206.0,13.0,0.0,47.0,206.0,13.0,0.0,47.0
2,ECO,Aztreonam_AB,258.0,0.0,1.0,7.0,258.0,0.0,1.0,7.0
3,ECO,Cefazolin_AB,252.0,0.0,1.0,13.0,252.0,0.0,1.0,13.0
4,ECO,Cefepime_AB,208.0,41.0,8.0,9.0,208.0,41.0,8.0,9.0
5,ECO,Cefotaxime_AB,61.0,145.0,0.0,60.0,61.0,145.0,0.0,60.0
6,ECO,Ceftazidime_AB,9.0,196.0,25.0,36.0,9.0,196.0,25.0,36.0
7,ECO,Ceftriaxone_AB,206.0,36.0,0.0,24.0,206.0,36.0,0.0,24.0
8,ECO,Cefuroxime_AB,266.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0
9,ECO,Ciprofloxacin_AB,1.0,151.0,4.0,110.0,1.0,151.0,4.0,110.0
10,ECO,Ertapenem_AB,243.0,22.0,0.0,1.0,243.0,22.0,0.0,1.0
11,ECO,Gentamicin_AB,1.0,233.0,0.0,32.0,1.0,233.0,0.0,32.0
12,ECO,Imipenem_AB,257.0,9.0,0.0,0.0,257.0,9.0,0.0,0.0
13,ECO,Levofloxacin_AB,242.0,2.0,4.0,18.0,242.0,2.0,4.0,18.0
14,ECO,Meropenem_AB,1.0,264.0,0.0,1.0,1.0,264.0,0.0,1.0
15,ECO,Norfloxacin_AB,229.0,29.0,0.0,8.0,229.0,29.0,0.0,8.0
16,ECO,Tobramycin_AB,214.0,46.0,0.0,6.0,214.0,46.0,0.0,6.0
17,ECO,Trimethoprim_AB,229.0,10.0,0.0,27.0,229.0,10.0,0.0,27.0
18,EKP,Amikacin_AB,6.0,124.0,0.0,59.0,6.0,124.0,0.0,59.0
19,EKP,Ampicillin_AB,19.0,2.0,0.0,168.0,19.0,2.0,0.0,168.0
20,EKP,Aztreonam_AB,40.0,33.0,8.0,108.0,40.0,33.0,8.0,108.0
21,EKP,Cefazolin_AB,73.0,0.0,31.0,85.0,73.0,0.0,31.0,85.0
22,EKP,Cefepime_AB,33.0,7.0,15.0,134.0,33.0,7.0,15.0,134.0
23,EKP,Cefotaxime_AB,30.0,6.0,0.0,153.0,30.0,6.0,0.0,153.0
24,EKP,Ceftazidime_AB,27.0,39.0,6.0,117.0,27.0,39.0,6.0,117.0
25,EKP,Ceftriaxone_AB,80.0,0.0,0.0,109.0,80.0,0.0,0.0,109.0
26,EKP,Cefuroxime_AB,43.0,0.0,28.0,118.0,43.0,0.0,28.0,118.0
27,EKP,Ciprofloxacin_AB,5.0,13.0,14.0,157.0,5.0,13.0,14.0,157.0
28,EKP,Ertapenem_AB,7.0,56.0,0.0,126.0,7.0,56.0,0.0,126.0
29,EKP,Gentamicin_AB,5.0,95.0,0.0,89.0,5.0,95.0,0.0,89.0
30,EKP,Imipenem_AB,65.0,20.0,2.0,102.0,65.0,20.0,2.0,102.0
31,EKP,Levofloxacin_AB,72.0,5.0,28.0,84.0,72.0,5.0,28.0,84.0
32,EKP,Meropenem_AB,0.0,63.0,9.0,117.0,0.0,63.0,9.0,117.0
33,EKP,Norfloxacin_AB,189.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0
34,EKP,Tobramycin_AB,37.0,60.0,0.0,92.0,37.0,60.0,0.0,92.0
35,EKP,Trimethoprim_AB,180.0,1.0,0.0,8.0,180.0,1.0,0.0,8.0
36,PTX,Amikacin_AB,67.0,3.0,0.0,7.0,67.0,3.0,0.0,7.0
37,PTX,Ampicillin_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
38,PTX,Aztreonam_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
39,PTX,Cefazolin_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
40,PTX,Cefepime_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
41,PTX,Cefotaxime_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
42,PTX,Ceftazidime_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
43,PTX,Ceftriaxone_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
44,PTX,Cefuroxime_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
45,PTX,Ciprofloxacin_AB,21.0,0.0,2.0,54.0,21.0,0.0,2.0,54.0
46,PTX,Ertapenem_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
47,PTX,Gentamicin_AB,15.0,10.0,0.0,52.0,15.0,10.0,0.0,52.0
48,PTX,Imipenem_AB,32.0,14.0,2.0,29.0,32.0,14.0,2.0,29.0
49,PTX,Levofloxacin_AB,33.0,3.0,1.0,40.0,33.0,3.0,1.0,40.0
50,PTX,Meropenem_AB,26.0,28.0,6.0,17.0,26.0,28.0,6.0,17.0
51,PTX,Norfloxacin_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
52,PTX,Tobramycin_AB,19.0,37.0,0.0,21.0,19.0,37.0,0.0,21.0
53,PTX,Trimethoprim_AB,77.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
