Target,ECO,EECG,EKP,PPA,PTX
Amikacin_AB,0.989062907779544,0.9630434782608696,0.9664681543558875,1.0,0.918130649837967
Amoxicillin-clavulanic acid_AB,0.9858407079646018,1.0,0.9886059559775573,1.0,1.0
Ampicillin-sulbactam_AB,0.9861356932153391,1.0,0.9865575885128485,1.0,1.0
Ampicillin_AB,0.9884337519650963,1.0,0.9968134666240922,1.0,1.0
Aztreonam_AB,0.9957361222847949,1.0,0.9817197000420743,0.7839506172839505,0.9464604402141582
Cefazolin_AB,0.9973618300217064,1.0,0.9939201511420278,1.0,1.0
Cefepime_AB,0.9574046714057739,0.8733333333333334,0.9196467068746834,0.7027540360873693,1.0
Cefotaxime_AB,0.9893649599044975,0.78125,0.9864467942262505,1.0,1.0
Ceftazidime_AB,0.8886425637706494,0.7866666666666666,0.9416433603142101,0.5323166303558461,0.9638425331621737
Ceftriaxone_AB,0.9929240127140929,1.0,0.9964799467834475,1.0,1.0
Cefuroxime_AB,0.9920582194385983,1.0,0.9939048282709994,1.0,1.0
Ciprofloxacin_AB,0.9920424653124041,0.9757566204287516,0.9984870840066512,0.4886039886039886,0.9531158828334696
Ertapenem_AB,0.9698791738407984,0.7,0.9123253739454853,1.0,1.0
Gentamicin_AB,0.9893385670376822,0.95,0.9577039274924471,1.0,1.0
Imipenem_AB,0.9980565677598473,0.8788461538461538,0.9728271126230067,0.46305156831472616,0.9013768686073957
Levofloxacin_AB,0.9721704704238472,0.8643181818181818,0.9724298027368047,1.0,0.9749840886290332
Meropenem_AB,0.9858533276544729,0.8703629032258065,0.9236584999599232,0.5636903052923725,0.9302499433663066
Moxifloxacin_AB,0.9983975639927681,0.95,1.0,1.0,1.0
Nitrofurantoin_AB,0.9868117489067182,0.8690476190476192,0.9816936949450752,1.0,1.0
Norfloxacin_AB,0.9964601769911504,1.0,1.0,1.0,1.0
Piperacillin-tazobactam_AB,0.9544720765959703,0.9385869565217391,0.952998744812617,1.0,1.0
Tigecycline_AB,0.9944069756864581,1.0,0.9838321751783095,1.0,1.0
Tobramycin_AB,0.9982586266035535,1.0,0.9610018356538916,0.9596371882086167,0.983739837398374
Trimethoprim_AB,0.9841892523769113,1.0,0.9804676692894215,1.0,1.0
Median,0.9892007374086131,0.9694000493448105,0.9817066974935748,1.0,1.0
