Target,ECO,EKP,PTX
Amikacin_AB,0.6481481481481481,0.8680851063829788,0.3333333333333333
Aztreonam_AB,,0.8133848133848134,
Cefazolin_AB,0.45454545454545453,0.797979797979798,
Cefepime_AB,0.5666666666666668,0.5956873315363882,
Cefotaxime_AB,0.9368421052631579,,
Ceftazidime_AB,0.7179058758006126,0.8168498168498168,
Cefuroxime_AB,,0.8388888888888889,
Ertapenem_AB,0.47619047619047616,0.9295454545454545,
Gentamicin_AB,1.0,0.9337606837606838,
Imipenem_AB,,0.819047619047619,
Levofloxacin_AB,0.47368421052631576,0.4594594594594595,
Meropenem_AB,,0.9295454545454545,1.0
Nitrofurantoin_AB,,0.9430199430199431,
Tobramycin_AB,1.0,0.9305555555555556,0.7619047619047619
Median,0.6481481481481481,0.8388888888888889,0.7619047619047619
