Target,ECO,EKP,PTX
Amikacin_AB,0.48867924528301887,0.33879781420765026,0.15
Ampicillin_AB,0.39166666666666666,0.49411764705882355,
Aztreonam_AB,0.4375,0.8951307313376278,
Cefazolin_AB,0.4642857142857143,0.36637931034482757,
Cefepime_AB,0.8095238095238096,0.293598233995585,
Cefotaxime_AB,0.65,0.4811320754716981,
Ceftazidime_AB,0.850069320657556,0.5801272025857575,
Ceftriaxone_AB,0.9736842105263157,,
Cefuroxime_AB,,0.4041095890410959,
Ciprofloxacin_AB,0.5999050332383665,0.4886405959031657,0.48214285714285715
Ertapenem_AB,0.4782608695652174,0.541407867494824,
Gentamicin_AB,0.9795974634684312,0.8333971169792065,0.7662037037037037
Imipenem_AB,,0.6120218579234973,0.21481481481481482
Levofloxacin_AB,0.6060606060606061,0.5974842767295597,0.5750000000000001
Meropenem_AB,0.4981132075471698,0.4218166014776184,0.4473684210526316
Norfloxacin_AB,0.9444444444444444,,
Tobramycin_AB,1.0,0.9356775300171527,0.8569500674763832
Trimethoprim_AB,0.8125,0.4444444444444444,
Median,0.628030303030303,0.4913791214809946,0.48214285714285715
