Target,ECO,EKP,PTX
Amikacin_AB,0.7227272727272727,0.8532608695652174,0.5
Aztreonam_AB,,0.8210526315789474,
Cefazolin_AB,0.5,0.797979797979798,
Cefepime_AB,0.5555555555555555,0.5833333333333334,
Cefotaxime_AB,0.9368421052631579,,
Ceftazidime_AB,0.723196881091618,0.825,
Cefuroxime_AB,,0.8388888888888889,
Ertapenem_AB,0.5,0.9523809523809523,
Gentamicin_AB,1.0,0.9337606837606838,
Imipenem_AB,,0.75,
Levofloxacin_AB,0.5,0.5,
Meropenem_AB,,0.9523809523809523,1.0
Nitrofurantoin_AB,,0.9642857142857143,
Tobramycin_AB,1.0,0.9305555555555556,0.875
Median,0.7227272727272727,0.8388888888888889,0.875
