Target,ECO,EKP,PTX
Amikacin_AB,0.9727272727272727,0.8505434782608696,1.0
Aztreonam_AB,,0.9368421052631579,
Cefazolin_AB,1.0,0.8181818181818181,
Cefepime_AB,0.8023809523809523,0.6597222222222222,
Cefotaxime_AB,0.9394736842105262,,
Ceftazidime_AB,0.9302986942964546,0.9425,
Cefuroxime_AB,,0.9222222222222223,
Ertapenem_AB,1.0,0.9428571428571428,
Gentamicin_AB,1.0,0.9188034188034189,
Imipenem_AB,,1.0,
Levofloxacin_AB,0.8888888888888888,0.5686274509803921,
Meropenem_AB,,0.9571428571428571,1.0
Nitrofurantoin_AB,,1.0,
Tobramycin_AB,1.0,0.9398148148148148,0.75
Median,0.9727272727272727,0.9368421052631579,1.0
