,Ceftriaxone_AB,Meropenem_AB,Cefepime_AB,Trimethoprim_AB,Ciprofloxacin_AB,Amikacin_AB,Tobramycin_AB,Gentamicin_AB,Ceftazidime_AB,Ampicillin_AB,Norfloxacin_AB,Aztreonam_AB,Cefotaxime_AB,Cefuroxime_AB,Imipenem_AB,Cefazolin_AB,Ertapenem_AB,Levofloxacin_AB,Organism_Code
Amikacin_AB,0.004886889980331984,0.026725190384914048,0.01502121704139685,0.005364925355438187,0.023964641157081922,0.5645176557129383,0.03213262583160534,0.10885957547631533,0.13224823429833263,0.008792091890895543,1.1266157423102564e-06,0.01125850677193523,0.011540620948277812,0.004024981372111287,0.00932705394746973,0.00371855927636447,0.01940835484623933,0.011686785520479248,0.006520963572130437
Ampicillin_AB,0.03462542142148564,0.007207005640423874,0.021611908936413213,0.019096706915147088,0.03093269029074575,0.012029006807121791,0.05116988002179371,0.016531947171423728,0.13437838689498316,0.5123679391212499,0.049882936240688625,0.00860868712271844,0.009077067703249087,0.016038185308185522,0.007164753202666151,0.015594709709142056,0.03250664101156057,0.021139678334480976,3.644814652089508e-05
Aztreonam_AB,0.0029566093999017205,0.011006178416474374,0.02782948449874606,0.0045824680132917055,0.02006297472869978,0.029976991858370924,0.02136832399769352,0.008789891072896697,0.10265140748052407,0.005159763483018674,0.0,0.5603532159420971,0.008381463499108233,0.08087500163995279,0.004897199603202031,0.0900320963282686,0.008450778248177368,0.012610021580372215,1.6130209204154552e-05
Cefazolin_AB,0.02068048443766644,0.005799160191598425,0.009111674302139695,0.0,0.01749274945586516,0.009271733027248588,0.01571485310928763,0.020299168496416164,0.12620288129140173,0.006398930860652242,0.0,0.08269908532573511,0.03796499246751116,0.08794210990683045,0.007616124817163469,0.5355101186476265,0.0037834958375907233,0.01336245343405223,0.00014998439121436768
Cefepime_AB,0.0987454213873813,0.02119755696101772,0.45335592373734535,0.04286966094164742,0.04310473530990862,0.023725607137694574,0.016479048706020245,0.013822985060058551,0.04404763970409932,0.012423851530607245,0.045288052672305595,0.05697775001828322,0.02522323481353815,0.014306336745629205,0.007126313097186204,0.014575396005442512,0.02726518007180178,0.039110204955914926,0.0003551011441181318
Cefotaxime_AB,0.0010989907655424107,0.00786122998399449,0.031515625666739364,0.0018608920185351437,0.019594574946248805,0.004039347324941971,0.017784593544569335,0.0032413711097237213,0.16067607848478252,0.004476392434276413,0.0,0.029429754755241455,0.619552645869326,0.07268070139022231,0.0023241086041238196,0.0019791064510062822,0.009821677603666673,0.011156084220777145,0.0009068248262821035
Ceftazidime_AB,0.007933157027895866,0.010849401436962378,0.023786745008457878,0.0031122959699465364,0.05866478650092354,0.014516083915648785,0.019649513705621246,0.032272735737947325,0.6669462473073284,0.007185489244387869,0.00029986058898393486,0.03687724110013688,0.07732714592100658,0.007284149283375861,0.0013197388733345908,0.00710419215385253,0.012311968648839312,0.011888985448424313,0.0006702621269259432
Ceftriaxone_AB,0.4968668436562337,0.009301146024392507,0.08909005723675625,0.13445586922996208,0.013578039893786656,0.002890358400212527,0.002451897897631218,0.0021559576911996505,0.02747440683262119,0.006233321070473423,0.15238624405814857,0.004589679541649778,6.499927542238934e-05,0.0016995621749371081,0.0006050532847747237,0.004593242340292058,0.025528446250641726,0.025882267448190187,0.00015260769267436304
Cefuroxime_AB,0.003974543254196538,0.008586367579446615,0.007128361555067855,0.001873451352852871,0.010284424074975141,0.011921806991308218,0.020873263194636685,0.011487595739340196,0.09772954810567137,0.005794972537404032,0.0,0.1522370948415858,0.009991766339815146,0.4909813799833316,0.00586531379332751,0.14291029106068204,0.008610678342544142,0.009749141253814467,0.0
Ciprofloxacin_AB,0.00984761611752135,0.028187629322863443,0.017905043682841702,0.002940256949046502,0.6119347645298766,0.048453320788315456,0.01553351454293727,0.018488625249031283,0.09878202353915357,0.007017534410899831,0.0021216778613837844,0.01466906356647834,0.026641011509907254,0.005567032069201196,0.017449312742987888,0.007618268574310351,0.016980502591941248,0.04336379679197291,0.0064990051593299914
Ertapenem_AB,0.02924714109358849,0.16701512579178485,0.02058866664961883,0.001995404854536,0.020390121250530944,0.026969824045562706,0.013575221398708395,0.013023902357603713,0.023907342908452093,0.031270343807815584,0.0,0.01770220208646204,0.011040640693071991,0.013229508791435614,0.3695051228176424,0.010200825938807704,0.20925398224234504,0.020060152502194527,0.0010244707698390157
Gentamicin_AB,0.0039242390785193025,0.021915903453480115,0.0042942301292565625,0.0006403635653055675,0.023103447658558166,0.08326596153662563,0.04038443861515863,0.6766948092166001,0.0832044890265581,0.003728977387246311,9.897168746406595e-06,0.005906078071214414,0.005347918480863437,0.003257125727681654,0.016109671573314603,0.008217071495811766,0.008643405813797389,0.010081062872128087,0.0012709091291337163
Imipenem_AB,0.0034599997349428827,0.1870122449750091,0.004167814100965973,0.0,0.03755136983768058,0.039167014338076844,0.030014329704899083,0.02434567815692785,0.007333107751996809,0.013142171887169672,0.0,0.004343485684967332,0.008139945541198257,0.011421302839212687,0.5330503096539316,0.004084291488431459,0.044314501745082446,0.03453731154229908,0.01391512101720841
Levofloxacin_AB,0.024413565265193237,0.03644319817518972,0.022299581813061676,0.0,0.11842651941545526,0.01492978323662622,0.013273333980703862,0.015016038720486544,0.014300321434295207,0.015674554464448553,0.0,0.023571764557366856,0.012520288200965988,0.035299925627084464,0.023226597602769343,0.006426703871989308,0.022562660838732797,0.6012658192386943,0.00034934355693672174
Meropenem_AB,0.008098921862045638,0.4292076772250095,0.023738534529954905,0.0009839366104335957,0.03226775929210482,0.05608895268542482,0.02823492404883631,0.04027099254636533,0.02343604937690008,0.007156685625286655,7.000933748882286e-07,0.01890485244445423,0.007981227088437706,0.00879891889052549,0.1446205396406483,0.011511179221729922,0.050242839381697824,0.038437541653541234,0.07001776778322867
Norfloxacin_AB,0.024525246434061596,0.020222257332896343,0.08598150649606111,0.044527645294635175,0.3947946681756334,0.007121166276333234,0.007056066622541671,0.006992234624126624,0.020187399800353573,0.013396618280383233,0.375195190662974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
